tax_year,reit_name,taxpayer_id,asset_id,parcel_id,building_id,tax_name,tax_classification,official_value,taxable_area,ownership_share,fair_market_value_ratio,tax_base,bracket,base_amount,tax_rate,multiplier,calculated_tax,verified_tax,variance,calculation_status,law_name,article,formula_text,input_source,source_url,calculation_timestamp
2026,ESR켄달스퀘어리츠,TP-4caa39164421,365550-ESR-005,,365550-ESR-005-B001,지방교육세,building,,,,,,,,,,,,,data_insufficient,,,,재산세 본세가 확정 계산되지 않았습니다.,,2026-07-15T05:47:09.192576+00:00
2026,ESR켄달스퀘어리츠,TP-4caa39164421,365550-ESR-005,,365550-ESR-005-B001,소방분 지역자원시설세,building,,,,,,,,,,,,,data_insufficient,,,,입력 검증 상태가 계산 허용 상태가 아닙니다: official_partial; 필수 입력값이 없습니다: building_standard_value,,2026-07-15T05:47:09.192582+00:00
2026,ESR켄달스퀘어리츠,TP-0affebc1928e,365550-ESR-006,,365550-ESR-006-B001,건축물 재산세,building,,,,,,,,,,,,,data_insufficient,,,,입력 검증 상태가 계산 허용 상태가 아닙니다: official_partial; 필수 입력값이 없습니다: building_standard_value,,2026-07-15T05:47:09.198637+00:00
2026,ESR켄달스퀘어리츠,TP-0affebc1928e,365550-ESR-006,,365550-ESR-006-B001,재산세 도시지역분,building,,,,,,,,,,,,,manual_review_required,,,,도시지역분 적용대상 고시 및 지방자치단체 조례 확인이 필요합니다.,,2026-07-15T05:47:09.198657+00:00
2026,ESR켄달스퀘어리츠,TP-0affebc1928e,365550-ESR-006,,365550-ESR-006-B001,지방교육세,building,,,,,,,,,,,,,data_insufficient,,,,재산세 본세가 확정 계산되지 않았습니다.,,2026-07-15T05:47:09.198664+00:00
2026,ESR켄달스퀘어리츠,TP-0affebc1928e,365550-ESR-006,,365550-ESR-006-B001,소방분 지역자원시설세,building,,,,,,,,,,,,,data_insufficient,,,,입력 검증 상태가 계산 허용 상태가 아닙니다: official_partial; 필수 입력값이 없습니다: building_standard_value,,2026-07-15T05:47:09.198678+00:00
2026,ESR켄달스퀘어리츠,TP-e9477fd28340,365550-ESR-007,,365550-ESR-007-B001,건축물 재산세,building,,,,,,,,,,,,,data_insufficient,,,,입력 검증 상태가 계산 허용 상태가 아닙니다: official_partial; 필수 입력값이 없습니다: building_standard_value,,2026-07-15T05:47:09.204996+00:00
2026,ESR켄달스퀘어리츠,TP-e9477fd28340,365550-ESR-007,,365550-ESR-007-B001,재산세 도시지역분,building,,,,,,,,,,,,,manual_review_required,,,,도시지역분 적용대상 고시 및 지방자치단체 조례 확인이 필요합니다.,,2026-07-15T05:47:09.205016+00:00
2026,ESR켄달스퀘어리츠,TP-e9477fd28340,365550-ESR-007,,365550-ESR-007-B001,지방교육세,building,,,,,,,,,,,,,data_insufficient,,,,재산세 본세가 확정 계산되지 않았습니다.,,2026-07-15T05:47:09.205025+00:00
2026,ESR켄달스퀘어리츠,TP-e9477fd28340,365550-ESR-007,,365550-ESR-007-B001,소방분 지역자원시설세,building,,,,,,,,,,,,,data_insufficient,,,,입력 검증 상태가 계산 허용 상태가 아닙니다: official_partial; 필수 입력값이 없습니다: building_standard_value,,2026-07-15T05:47:09.205033+00:00
2026,ESR켄달스퀘어리츠,TP-e03f462db3ec,365550-ESR-008,,365550-ESR-008-B001,건축물 재산세,building,,,,,,,,,,,,,data_insufficient,,,,입력 검증 상태가 계산 허용 상태가 아닙니다: official_partial; 필수 입력값이 없습니다: building_standard_value,,2026-07-15T05:47:09.210558+00:00
2026,ESR켄달스퀘어리츠,TP-e03f462db3ec,365550-ESR-008,,365550-ESR-008-B001,재산세 도시지역분,building,,,,,,,,,,,,,manual_review_required,,,,도시지역분 적용대상 고시 및 지방자치단체 조례 확인이 필요합니다.,,2026-07-15T05:47:09.210576+00:00
2026,ESR켄달스퀘어리츠,TP-e03f462db3ec,365550-ESR-008,,365550-ESR-008-B001,지방교육세,building,,,,,,,,,,,,,data_insufficient,,,,재산세 본세가 확정 계산되지 않았습니다.,,2026-07-15T05:47:09.210583+00:00
2026,ESR켄달스퀘어리츠,TP-e03f462db3ec,365550-ESR-008,,365550-ESR-008-B001,소방분 지역자원시설세,building,,,,,,,,,,,,,data_insufficient,,,,입력 검증 상태가 계산 허용 상태가 아닙니다: official_partial; 필수 입력값이 없습니다: building_standard_value,,2026-07-15T05:47:09.210590+00:00
2026,ESR켄달스퀘어리츠,TP-a8cd66996ecd,365550-ESR-009,,365550-ESR-009-B001,건축물 재산세,building,,,,,,,,,,,,,data_insufficient,,,,입력 검증 상태가 계산 허용 상태가 아닙니다: official_partial; 필수 입력값이 없습니다: building_standard_value,,2026-07-15T05:47:09.216317+00:00
2026,ESR켄달스퀘어리츠,TP-a8cd66996ecd,365550-ESR-009,,365550-ESR-009-B001,재산세 도시지역분,building,,,,,,,,,,,,,manual_review_required,,,,도시지역분 적용대상 고시 및 지방자치단체 조례 확인이 필요합니다.,,2026-07-15T05:47:09.216334+00:00
2026,ESR켄달스퀘어리츠,TP-a8cd66996ecd,365550-ESR-009,,365550-ESR-009-B001,지방교육세,building,,,,,,,,,,,,,data_insufficient,,,,재산세 본세가 확정 계산되지 않았습니다.,,2026-07-15T05:47:09.216347+00:00
2026,ESR켄달스퀘어리츠,TP-a8cd66996ecd,365550-ESR-009,,365550-ESR-009-B001,소방분 지역자원시설세,building,,,,,,,,,,,,,data_insufficient,,,,입력 검증 상태가 계산 허용 상태가 아닙니다: official_partial; 필수 입력값이 없습니다: building_standard_value,,2026-07-15T05:47:09.216354+00:00
2026,ESR켄달스퀘어리츠,TP-4d4784bea15b,365550-ESR-010,,365550-ESR-010-B001,건축물 재산세,building,,,,,,,,,,,,,data_insufficient,,,,입력 검증 상태가 계산 허용 상태가 아닙니다: official_partial; 필수 입력값이 없습니다: building_standard_value,,2026-07-15T05:47:09.222225+00:00
2026,ESR켄달스퀘어리츠,TP-4d4784bea15b,365550-ESR-010,,365550-ESR-010-B001,재산세 도시지역분,building,,,,,,,,,,,,,manual_review_required,,,,도시지역분 적용대상 고시 및 지방자치단체 조례 확인이 필요합니다.,,2026-07-15T05:47:09.222242+00:00
2026,ESR켄달스퀘어리츠,TP-4d4784bea15b,365550-ESR-010,,365550-ESR-010-B001,지방교육세,building,,,,,,,,,,,,,data_insufficient,,,,재산세 본세가 확정 계산되지 않았습니다.,,2026-07-15T05:47:09.222249+00:00
2026,ESR켄달스퀘어리츠,TP-4d4784bea15b,365550-ESR-010,,365550-ESR-010-B001,소방분 지역자원시설세,building,,,,,,,,,,,,,data_insufficient,,,,입력 검증 상태가 계산 허용 상태가 아닙니다: official_partial; 필수 입력값이 없습니다: building_standard_value,,2026-07-15T05:47:09.222254+00:00
2026,ESR켄달스퀘어리츠,TP-95f462aa61f6,365550-ESR-011,,365550-ESR-011-B001,건축물 재산세,building,,,,,,,,,,,,,data_insufficient,,,,입력 검증 상태가 계산 허용 상태가 아닙니다: official_partial; 필수 입력값이 없습니다: building_standard_value,,2026-07-15T05:47:09.226607+00:00
2026,ESR켄달스퀘어리츠,TP-95f462aa61f6,365550-ESR-011,,365550-ESR-011-B001,재산세 도시지역분,building,,,,,,,,,,,,,manual_review_required,,,,도시지역분 적용대상 고시 및 지방자치단체 조례 확인이 필요합니다.,,2026-07-15T05:47:09.226623+00:00
2026,ESR켄달스퀘어리츠,TP-95f462aa61f6,365550-ESR-011,,365550-ESR-011-B001,지방교육세,building,,,,,,,,,,,,,data_insufficient,,,,재산세 본세가 확정 계산되지 않았습니다.,,2026-07-15T05:47:09.226629+00:00
2026,ESR켄달스퀘어리츠,TP-95f462aa61f6,365550-ESR-011,,365550-ESR-011-B001,소방분 지역자원시설세,building,,,,,,,,,,,,,data_insufficient,,,,입력 검증 상태가 계산 허용 상태가 아닙니다: official_partial; 필수 입력값이 없습니다: building_standard_value,,2026-07-15T05:47:09.226635+00:00
2026,ESR켄달스퀘어리츠,TP-c45d964dd501,365550-ESR-012,,365550-ESR-012-B001,건축물 재산세,building,,,,,,,,,,,,,data_insufficient,,,,입력 검증 상태가 계산 허용 상태가 아닙니다: official_partial; 필수 입력값이 없습니다: building_standard_value,,2026-07-15T05:47:09.230645+00:00
2026,ESR켄달스퀘어리츠,TP-c45d964dd501,365550-ESR-012,,365550-ESR-012-B001,재산세 도시지역분,building,,,,,,,,,,,,,manual_review_required,,,,도시지역분 적용대상 고시 및 지방자치단체 조례 확인이 필요합니다.,,2026-07-15T05:47:09.230659+00:00
2026,ESR켄달스퀘어리츠,TP-c45d964dd501,365550-ESR-012,,365550-ESR-012-B001,지방교육세,building,,,,,,,,,,,,,data_insufficient,,,,재산세 본세가 확정 계산되지 않았습니다.,,2026-07-15T05:47:09.230664+00:00
2026,ESR켄달스퀘어리츠,TP-c45d964dd501,365550-ESR-012,,365550-ESR-012-B001,소방분 지역자원시설세,building,,,,,,,,,,,,,data_insufficient,,,,입력 검증 상태가 계산 허용 상태가 아닙니다: official_partial; 필수 입력값이 없습니다: building_standard_value,,2026-07-15T05:47:09.230670+00:00
2026,ESR켄달스퀘어리츠,TP-42486f7a9dfb,365550-ESR-013,,365550-ESR-013-B001,건축물 재산세,building,,,,,,,,,,,,,data_insufficient,,,,입력 검증 상태가 계산 허용 상태가 아닙니다: official_partial; 필수 입력값이 없습니다: building_standard_value,,2026-07-15T05:47:09.234750+00:00
2026,ESR켄달스퀘어리츠,TP-42486f7a9dfb,365550-ESR-013,,365550-ESR-013-B001,재산세 도시지역분,building,,,,,,,,,,,,,manual_review_required,,,,도시지역분 적용대상 고시 및 지방자치단체 조례 확인이 필요합니다.,,2026-07-15T05:47:09.234764+00:00
2026,ESR켄달스퀘어리츠,TP-42486f7a9dfb,365550-ESR-013,,365550-ESR-013-B001,지방교육세,building,,,,,,,,,,,,,data_insufficient,,,,재산세 본세가 확정 계산되지 않았습니다.,,2026-07-15T05:47:09.234769+00:00
2026,ESR켄달스퀘어리츠,TP-42486f7a9dfb,365550-ESR-013,,365550-ESR-013-B001,소방분 지역자원시설세,building,,,,,,,,,,,,,data_insufficient,,,,입력 검증 상태가 계산 허용 상태가 아닙니다: official_partial; 필수 입력값이 없습니다: building_standard_value,,2026-07-15T05:47:09.234774+00:00
2026,ESR켄달스퀘어리츠,TP-f35c0dd6088b,365550-ESR-014,,365550-ESR-014-B001,건축물 재산세,building,,,,,,,,,,,,,data_insufficient,,,,입력 검증 상태가 계산 허용 상태가 아닙니다: official_partial; 필수 입력값이 없습니다: building_standard_value,,2026-07-15T05:47:09.241586+00:00
2026,ESR켄달스퀘어리츠,TP-f35c0dd6088b,365550-ESR-014,,365550-ESR-014-B001,재산세 도시지역분,building,,,,,,,,,,,,,manual_review_required,,,,도시지역분 적용대상 고시 및 지방자치단체 조례 확인이 필요합니다.,,2026-07-15T05:47:09.241607+00:00
2026,ESR켄달스퀘어리츠,TP-f35c0dd6088b,365550-ESR-014,,365550-ESR-014-B001,지방교육세,building,,,,,,,,,,,,,data_insufficient,,,,재산세 본세가 확정 계산되지 않았습니다.,,2026-07-15T05:47:09.241616+00:00
2026,ESR켄달스퀘어리츠,TP-f35c0dd6088b,365550-ESR-014,,365550-ESR-014-B001,소방분 지역자원시설세,building,,,,,,,,,,,,,data_insufficient,,,,입력 검증 상태가 계산 허용 상태가 아닙니다: official_partial; 필수 입력값이 없습니다: building_standard_value,,2026-07-15T05:47:09.241624+00:00
2026,ESR켄달스퀘어리츠,TP-c301e85c9cde,365550-ESR-015,,365550-ESR-015-B001,건축물 재산세,building,,,,,,,,,,,,,data_insufficient,,,,입력 검증 상태가 계산 허용 상태가 아닙니다: official_partial; 필수 입력값이 없습니다: building_standard_value,,2026-07-15T05:47:09.247995+00:00
2026,ESR켄달스퀘어리츠,TP-c301e85c9cde,365550-ESR-015,,365550-ESR-015-B001,재산세 도시지역분,building,,,,,,,,,,,,,manual_review_required,,,,도시지역분 적용대상 고시 및 지방자치단체 조례 확인이 필요합니다.,,2026-07-15T05:47:09.248013+00:00
2026,ESR켄달스퀘어리츠,TP-c301e85c9cde,365550-ESR-015,,365550-ESR-015-B001,지방교육세,building,,,,,,,,,,,,,data_insufficient,,,,재산세 본세가 확정 계산되지 않았습니다.,,2026-07-15T05:47:09.248019+00:00
2026,ESR켄달스퀘어리츠,TP-c301e85c9cde,365550-ESR-015,,365550-ESR-015-B001,소방분 지역자원시설세,building,,,,,,,,,,,,,data_insufficient,,,,입력 검증 상태가 계산 허용 상태가 아닙니다: official_partial; 필수 입력값이 없습니다: building_standard_value,,2026-07-15T05:47:09.248024+00:00
2026,ESR켄달스퀘어리츠,TP-b0ecddc79c1d,365550-ESR-016,,365550-ESR-016-B001,건축물 재산세,building,,,,,,,,,,,,,data_insufficient,,,,입력 검증 상태가 계산 허용 상태가 아닙니다: official_partial; 필수 입력값이 없습니다: building_standard_value,,2026-07-15T05:47:09.258036+00:00
2026,ESR켄달스퀘어리츠,TP-b0ecddc79c1d,365550-ESR-016,,365550-ESR-016-B001,재산세 도시지역분,building,,,,,,,,,,,,,manual_review_required,,,,도시지역분 적용대상 고시 및 지방자치단체 조례 확인이 필요합니다.,,2026-07-15T05:47:09.258057+00:00
