company_name,stock_code,dart_corp_code,market_cap_rank,market_cap,market,reit_type,main_asset_type,main_region,note
SK리츠,395400,01535150,1,980000,KOSPI,위탁관리리츠,Office,Seoul,DART corp code 검증 완료; 시가총액 순위는 예시 Snapshot
ESR켄달스퀘어리츠,365550,01437186,2,950000,KOSPI,위탁관리리츠,Logistics,Greater Seoul,DART corp code 검증 완료; 시가총액 순위는 예시 Snapshot
롯데리츠,330590,01363818,3,780000,KOSPI,위탁관리리츠,Retail,Nationwide,DART corp code 검증 완료; 시가총액 순위는 예시 Snapshot
제이알글로벌리츠,348950,,4,640000,KOSPI,위탁관리리츠,Office,Overseas,DART corp code 미검증; 시가총액 순위는 예시 Snapshot
신한알파리츠,293940,,5,590000,KOSPI,위탁관리리츠,Office,Seoul,DART corp code 미검증; 시가총액 순위는 예시 Snapshot
코람코라이프인프라리츠,357120,,6,470000,KOSPI,위탁관리리츠,Retail / Infra,Nationwide,DART corp code 미검증; 시가총액 순위는 예시 Snapshot
NH올원리츠,400760,,7,320000,KOSPI,위탁관리리츠,Diversified,Nationwide,DART corp code 미검증; 시가총액 순위는 예시 Snapshot
이지스밸류리츠,334890,,8,300000,KOSPI,위탁관리리츠,Office,Seoul,DART corp code 미검증; 시가총액 순위는 예시 Snapshot
