reit_name,ticker,period_end,term,basis,source_document,total_assets_mn_krw,current_assets_mn_krw,noncurrent_assets_mn_krw,investment_property_mn_krw,cash_and_equivalents_mn_krw,total_liabilities_mn_krw,current_liabilities_mn_krw,noncurrent_liabilities_mn_krw,total_equity_mn_krw,controlling_equity_mn_krw,noncontrolling_interest_mn_krw,share_capital_mn_krw,other_paid_in_capital_mn_krw,retained_earnings_mn_krw,interest_bearing_debt_mn_krw,gross_ltv_interest_debt_to_assets_pct,net_debt_mn_krw,net_ltv_net_debt_to_assets_pct,revenue_mn_krw,operating_income_mn_krw,pretax_income_mn_krw,net_income_mn_krw,controlling_net_income_mn_krw,noncontrolling_net_income_mn_krw,basic_eps_krw,diluted_eps_krw,operating_margin_pct,source_confidence,notes
SK리츠,395400,2024-12-31,제15기,consolidated_k_ifrs_summary,2025.09.22 사업보고서 요약 연결 재무정보,5019404.16,100539.707,4918864.453,4914059.747,53574.664,3168725.85,1161820.07,2006905.78,1850678.31,1769491.862,81186.448,136394.43,1113216.303,519881.129,2911489.581,58.0,2857914.917,56.94,52409.63,35412.431,2335.603,2335.603,1149.155,1186.448,4.21,4.21,67.57,high_disclosed_summary,Quarterly terms are REIT fiscal periods; use consolidated rows for REIT-level risk screener. Parent-only KPI file is separated to avoid mixing bases.
SK리츠,395400,2025-03-31,제16기,consolidated_k_ifrs_summary,2025.09.22 사업보고서 요약 연결 재무정보,5038760.046,99932.881,4938827.165,4933530.935,79887.697,3156682.707,870921.26,2285761.448,1882077.339,1800913.503,81163.836,138094.387,1127349.887,535469.229,2896457.48,57.48,2816569.783,55.9,72910.204,67812.365,33762.291,33762.291,32598.455,1163.836,119.21,114.51,93.01,high_disclosed_summary,Quarterly terms are REIT fiscal periods; use consolidated rows for REIT-level risk screener. Parent-only KPI file is separated to avoid mixing bases.
SK리츠,395400,2025-06-30,제17기,consolidated_k_ifrs_summary,2025.09.22 사업보고서 요약 연결 재무정보,5098456.515,175036.235,4923420.28,4914510.991,128040.14,3136125.732,585547.833,2550577.899,1962330.783,1881154.016,81176.767,145434.384,1188713.578,547006.053,2872404.627,56.34,2744364.487,53.83,71045.727,63203.721,31293.326,31293.326,30116.559,1176.767,108.66,104.98,88.96,high_disclosed_summary,Quarterly terms are REIT fiscal periods; use consolidated rows for REIT-level risk screener. Parent-only KPI file is separated to avoid mixing bases.
SK리츠,395400,2025-09-30,제18기,consolidated_k_ifrs_summary,2026.06.10 사업보고서 요약 연결 재무정보,5062352.59,136311.782,4926040.807,4914714.191,94199.964,3079158.432,1244125.32,1835033.112,1983194.158,1902004.459,81189.699,147559.331,1206768.069,547677.059,2794736.687,55.21,2700536.723,53.35,56695.897,50321.093,20302.578,20302.578,19112.879,1189.699,65.64,64.98,88.76,high_disclosed_summary,Quarterly terms are REIT fiscal periods; use consolidated rows for REIT-level risk screener. Parent-only KPI file is separated to avoid mixing bases.
SK리츠,395400,2025-12-31,제19기,consolidated_k_ifrs_summary,2026.06.10 사업보고서 요약 연결 재무정보,5433913.124,124111.829,5309801.295,5297006.693,53672.622,3413129.922,1197459.521,2215670.401,2020783.202,1939593.503,81189.699,149978.96,1229054.546,560559.997,3137379.227,57.74,3083706.606,56.75,70358.095,64534.748,33550.468,33550.468,32360.769,1189.699,109.07,107.82,91.72,high_disclosed_summary,Quarterly terms are REIT fiscal periods; use consolidated rows for REIT-level risk screener. Parent-only KPI file is separated to avoid mixing bases.
SK리츠,395400,2026-03-31,제20기,consolidated_k_ifrs_summary,2026.06.10 사업보고서 요약 연결 재무정보,5408832.249,168971.881,5239860.368,5232672.201,73378.212,3382988.685,1318000.437,2064988.248,2025843.564,1944679.728,81163.836,150508.81,1234032.76,560138.159,3103854.821,57.38,3030476.609,56.03,63369.239,53853.74,20539.22,20539.22,19375.385,1163.836,64.41,64.41,84.98,high_disclosed_summary,Quarterly terms are REIT fiscal periods; use consolidated rows for REIT-level risk screener. Parent-only KPI file is separated to avoid mixing bases.
