reit_name,ticker,period_end,term,basis,source_document,revenue_mn_krw,net_income_mn_krw,net_income_plus_depr_mn_krw,ffo_mn_krw,nav_mn_krw,common_dividend_total_mn_krw,dps_krw,leverage_pct,interest_coverage_x,avg_borrowing_rate_pct,fixed_rate_debt_pct,debt_weighted_average_maturity_yrs,occupancy_pct,wale_yrs,source_confidence,notes
SK리츠,395400,2025-12-31,제19기,parent_statutory_investment_report,"투자보고서 2026.06.30, page 5, 전기 column",44458,27672,27672,27672,1763454,19797,66,49.58,2.85,3.3,38.9,1.5,100.0,2.15,high_disclosed_kpi,Investment report KPI basis differs from consolidated business-report basis.
SK리츠,395400,2026-03-31,제20기,parent_statutory_investment_report,"투자보고서 2026.06.30, page 5, 당기 column",42221,22134,22134,22134,1771299,20469,68,49.15,2.27,3.8,55.0,1.3,100.0,1.9,high_disclosed_kpi,P타워 신규 임차인 넥슨은 2026-04-01부터 임대 개시 예정이라고 별도 기재.
