asset_name,period_end,basis,investment_target,location,completion_or_acquisition_date,collateral_and_debt,land_area_sqm,gross_floor_area_sqm,book_value_mn_krw,deposit_mn_krw,leasable_area_sqm,leased_area_sqm,occupancy_pct,lease_contract_count,source_document
서린빌딩,2026-03-31,parent_statutory_investment_report,office,서울시 종로구 종로26,2021-07-06,"채권최고액 530,160백만원; 장기차입금 441,800백만원",5778.8,83827.66,1319050,32712,83827.66,83827.66,100.0,1,투자보고서 2026.06.30 pp.12-14
SK U-타워,2026-03-31,parent_statutory_investment_report,office,경기도 성남시 분당구 정자동 25-1,2022-06-30,"채권최고액 185,256백만원; 장기차입금 154,380백만원",9967.8,86803.86,632300,17330,86803.86,86803.86,100.0,1,투자보고서 2026.06.30 pp.12-14
SK-C 타워,2026-03-31,parent_statutory_investment_report,office,서울특별시 중구 충무로 15,2024-12-20,해당없음,2116.2,21641.11,215150,8730,21675.87,21675.87,100.0,4,투자보고서 2026.06.30 pp.12-14
SK-P 타워,2026-03-31,parent_statutory_investment_report,office,"경기도 성남시 분당구 삼평동 623, 623-1",2013-10-08 / acquired 2025-11-18,"장기차입금 216,400백만원",6717.0,49679.1,380700,14277,49679.1,49679.1,100.0,3,투자보고서 2026.06.30 pp.12-14
